economy_code,economy,year,value,source
11_MEX,Mexico,2017,20.6161724297524,WDI
11_MEX,Mexico,2018,21.49505806165,WDI
11_MEX,Mexico,2019,21.8054202744074,WDI
11_MEX,Mexico,2020,22.1927981725641,WDI
11_MEX,Mexico,2021,21.6797240995638,WDI
11_MEX,Mexico,2022,20.0126087965779,WDI
11_MEX,Mexico,2023,19.9269884427126,WDI
11_MEX,Mexico,2024,18.4225686840893,WDI
11_MEX,Mexico,2025,18.2575535645909,WDI
12_NZ,New Zealand,2000,19.7746053146032,WDI
12_NZ,New Zealand,2001,21.7888599913365,WDI
12_NZ,New Zealand,2002,20.8536371420551,WDI
12_NZ,New Zealand,2003,21.3357225941397,WDI
12_NZ,New Zealand,2004,20.0302441455003,WDI
12_NZ,New Zealand,2005,17.6910746297353,WDI
12_NZ,New Zealand,2006,17.0080900749185,WDI
12_NZ,New Zealand,2007,18.0473595021003,WDI
12_NZ,New Zealand,2008,15.9099268780347,WDI
12_NZ,New Zealand,2009,18.3789054944526,WDI
12_NZ,New Zealand,2010,17.7333268313253,WDI
12_NZ,New Zealand,2011,17.5804229030309,WDI
12_NZ,New Zealand,2012,17.6459958412175,WDI
12_NZ,New Zealand,2013,19.7131637239142,WDI
12_NZ,New Zealand,2014,19.7687759617059,WDI
12_NZ,New Zealand,2015,20.8829128204934,WDI
12_NZ,New Zealand,2016,20.7129497285824,WDI
12_NZ,New Zealand,2017,20.768621578362,WDI
12_NZ,New Zealand,2018,20.0928258867102,WDI
12_NZ,New Zealand,2019,21.4827262717104,WDI
12_NZ,New Zealand,2020,20.6816204705713,WDI
12_NZ,New Zealand,2021,18.6886565090577,WDI
12_NZ,New Zealand,2022,17.9987943013408,WDI
12_NZ,New Zealand,2023,18.5522226526172,WDI
12_NZ,New Zealand,2024,18.9451802917386,WDI
12_NZ,New Zealand,2025,19.145180291738598,WDI seeded and projected to 2025
13_PNG,Papua New Guinea,1990,17.1227925491283,WDI
13_PNG,Papua New Guinea,1991,21.1222107992533,WDI
13_PNG,Papua New Guinea,1992,20.7395892005851,WDI
13_PNG,Papua New Guinea,1993,25.4759839049875,WDI
13_PNG,Papua New Guinea,1994,28.0654077363039,WDI
13_PNG,Papua New Guinea,1995,35.1486857574119,WDI
13_PNG,Papua New Guinea,1996,26.2088923734518,WDI
13_PNG,Papua New Guinea,1997,14.8325203336228,WDI
13_PNG,Papua New Guinea,1998,18.4081793837627,WDI
13_PNG,Papua New Guinea,1999,18.8789329853439,WDI
13_PNG,Papua New Guinea,2000,32.479973088132,WDI
13_PNG,Papua New Guinea,2001,28.3485704115071,WDI
13_PNG,Papua New Guinea,2002,22.9407237952159,WDI
13_PNG,Papua New Guinea,2003,30.4588187520294,WDI
13_PNG,Papua New Guinea,2004,30.4211496284667,WDI
13_PNG,Papua New Guinea,2005,30.221149628466698,WDI seeded and projected to 2025
13_PNG,Papua New Guinea,2006,30.0211496284667,WDI seeded and projected to 2025
13_PNG,Papua New Guinea,2007,29.8211496284667,WDI seeded and projected to 2025
13_PNG,Papua New Guinea,2008,29.621149628466696,WDI seeded and projected to 2025
13_PNG,Papua New Guinea,2009,29.421149628466697,WDI seeded and projected to 2025
13_PNG,Papua New Guinea,2010,29.221149628466698,WDI seeded and projected to 2025
13_PNG,Papua New Guinea,2011,29.0211496284667,WDI seeded and projected to 2025
13_PNG,Papua New Guinea,2012,28.821149628466696,WDI seeded and projected to 2025
13_PNG,Papua New Guinea,2013,28.621149628466696,WDI seeded and projected to 2025
13_PNG,Papua New Guinea,2014,28.421149628466697,WDI seeded and projected to 2025
13_PNG,Papua New Guinea,2015,28.221149628466698,WDI seeded and projected to 2025
13_PNG,Papua New Guinea,2016,28.021149628466695,WDI seeded and projected to 2025
13_PNG,Papua New Guinea,2017,27.821149628466696,WDI seeded and projected to 2025
13_PNG,Papua New Guinea,2018,27.621149628466696,WDI seeded and projected to 2025
13_PNG,Papua New Guinea,2019,27.421149628466697,WDI seeded and projected to 2025
13_PNG,Papua New Guinea,2020,27.221149628466694,WDI seeded and projected to 2025
13_PNG,Papua New Guinea,2021,27.021149628466695,WDI seeded and projected to 2025
13_PNG,Papua New Guinea,2022,26.821149628466696,WDI seeded and projected to 2025
13_PNG,Papua New Guinea,2023,26.621149628466696,WDI seeded and projected to 2025
13_PNG,Papua New Guinea,2024,26.421149628466694,WDI seeded and projected to 2025
13_PNG,Papua New Guinea,2025,26.221149628466694,WDI seeded and projected to 2025
14_PE,Peru,1990,13.0540458697492,WDI
14_PE,Peru,1991,13.9572812035463,WDI
14_PE,Peru,1992,13.090892305614,WDI
14_PE,Peru,1993,13.3494755950289,WDI
14_PE,Peru,1994,16.7654806087236,WDI
14_PE,Peru,1995,16.3892760696641,WDI
14_PE,Peru,1996,16.2584704238878,WDI
14_PE,Peru,1997,18.2567579801323,WDI
14_PE,Peru,1998,17.7514260858085,WDI
14_PE,Peru,1999,18.3962325335462,WDI
14_PE,Peru,2000,17.3193794611689,WDI
14_PE,Peru,2001,16.6647975093251,WDI
14_PE,Peru,2002,16.951753375854,WDI
14_PE,Peru,2003,16.8011088028699,WDI
14_PE,Peru,2004,17.8372556948338,WDI
14_PE,Peru,2005,19.7420734267914,WDI
14_PE,Peru,2006,23.3266563655985,WDI
14_PE,Peru,2007,24.1164184752208,WDI
14_PE,Peru,2008,22.7511768658313,WDI
14_PE,Peru,2009,20.9204419173752,WDI
14_PE,Peru,2010,22.4461433705974,WDI
14_PE,Peru,2011,23.7001028548684,WDI
14_PE,Peru,2012,22.9002750663299,WDI
14_PE,Peru,2013,22.4969888227911,WDI
14_PE,Peru,2014,21.1979959046743,WDI
14_PE,Peru,2015,20.6143765604293,WDI
14_PE,Peru,2016,20.3904273609102,WDI
14_PE,Peru,2017,20.6034486666787,WDI
14_PE,Peru,2018,20.3807607031026,WDI
14_PE,Peru,2019,20.7009672893936,WDI
14_PE,Peru,2020,19.8460263182175,WDI
14_PE,Peru,2021,20.2171352561774,WDI
14_PE,Peru,2022,18.3115670069229,WDI
14_PE,Peru,2023,20.2439247198168,WDI
14_PE,Peru,2024,22.6251319391328,WDI
14_PE,Peru,2025,24.0476183890493,WDI
15_PHL,Philippines,1990,22.4397324368827,WDI
15_PHL,Philippines,1991,20.9940259165043,WDI
15_PHL,Philippines,1992,20.7100674276883,WDI
15_PHL,Philippines,1993,20.3512734374584,WDI
15_PHL,Philippines,1994,22.4209070619903,WDI
15_PHL,Philippines,1995,21.9351325155766,WDI
15_PHL,Philippines,1996,22.4067471448509,WDI
15_PHL,Philippines,1997,23.9122337867866,WDI
15_PHL,Philippines,1998,29.6191580479745,WDI
15_PHL,Philippines,1999,35.9678010817108,WDI
15_PHL,Philippines,2000,33.3916737451306,WDI
15_PHL,Philippines,2001,34.6236833401699,WDI
15_PHL,Philippines,2002,35.2688442852804,WDI
15_PHL,Philippines,2003,35.6099556982049,WDI
15_PHL,Philippines,2004,36.2292309162938,WDI
15_PHL,Philippines,2005,37.7714550955846,WDI
15_PHL,Philippines,2006,37.2282016275856,WDI
15_PHL,Philippines,2007,36.7544223626749,WDI
15_PHL,Philippines,2008,36.0222747408748,WDI
15_PHL,Philippines,2009,37.9486917120278,WDI
15_PHL,Philippines,2010,39.7514910839799,WDI
15_PHL,Philippines,2011,36.8750710888523,WDI
15_PHL,Philippines,2012,35.1328493512711,WDI
15_PHL,Philippines,2013,36.3544017148818,WDI
15_PHL,Philippines,2014,37.3474479713157,WDI
15_PHL,Philippines,2015,35.6348333700962,WDI
15_PHL,Philippines,2016,35.0547724231085,WDI
15_PHL,Philippines,2017,35.4886316753905,WDI
15_PHL,Philippines,2018,33.8070507208738,WDI
15_PHL,Philippines,2019,31.7551872075089,WDI
