economy_code,economy,year,population_1jan,Real GDP PPP 2021 USD,output_to_kstock,delta,Gross national savings,9th Outlook
16_RUS,Russia,2095,126882.789,,,,,9944743.044229517
16_RUS,Russia,2096,126814.17,,,,,10039616.807201635
16_RUS,Russia,2097,126723.362,,,,,10135203.128109245
16_RUS,Russia,2098,126644.367,,,,,10231710.06791532
16_RUS,Russia,2099,126543.015,,,,,10329023.554375984
16_RUS,Russia,2100,126439.051,,,,,10427310.09303062
17_SGP,Singapore,1990,2988.681,140049.416153099,0.2731169988670847,0.0418878048658371,43.7346820122541,143569.59094546075
17_SGP,Singapore,1991,3090.501,149416.477857285,0.2712809716892718,0.0433828830718994,44.9742348070061,153174.6809015526
17_SGP,Singapore,1992,3182.081,159337.441475797,0.2681576132099644,0.0446267388761044,46.9931769374517,163364.7946600042
17_SGP,Singapore,1993,3270.848,177596.95598247298,0.2766336041724687,0.0456315316259861,44.3689996647096,182042.89417434327
17_SGP,Singapore,1994,3364.936,197302.562442346,0.2840182369710681,0.046156257390976,48.0937388256663,202267.72732380396
17_SGP,Singapore,1995,3470.698,211459.81271941905,0.2800638053799027,0.0464525781571865,50.5941912194197,216814.7014067492
17_SGP,Singapore,1996,3596.551,227258.801839554,0.2719823284134601,0.0472463257610798,48.8767626927082,232999.8858248351
17_SGP,Singapore,1997,3732.569,246158.119024241,0.2663609082182415,0.0479022897779942,52.3004833795433,252353.782523862
17_SGP,Singapore,1998,3860.676,240764.757697655,0.2402297824175614,0.0477310195565224,51.3496086513825,246813.7792465844
17_SGP,Singapore,1999,3942.159,254532.581602908,0.2376634520138291,0.0472639799118042,48.9122577264388,260959.87900068815
17_SGP,Singapore,2000,3990.955,277538.04147977097,0.2412665590861519,0.0469802767038345,46.3748639816815,284534.32740500645
17_SGP,Singapore,2001,4079.535,274565.989973697,0.2252940365058599,0.046735730022192,40.0817720006283,281478.673281776
17_SGP,Singapore,2002,4152.797,285338.204303906,0.2246073291652822,0.0463997572660446,38.4280208891596,292526.44561939326
17_SGP,Singapore,2003,4140.988,298316.114664843,0.2269880474612696,0.0461049489676952,39.398793615194,305840.5749293399
17_SGP,Singapore,2004,4135.502,327968.684807152,0.2397960775535604,0.0462254360318184,40.6143506457402,336253.930075705
17_SGP,Singapore,2005,4210.033,352127.915476514,0.2476322239991753,0.0468008518218994,43.62664151037,361014.55186132656
17_SGP,Singapore,2006,4326.694,383843.253121348,0.2585366180376766,0.0476377792656422,48.1685207360732,393475.66635702207
17_SGP,Singapore,2007,4487.422,418471.74709983,0.2677945173466436,0.0486085154116154,49.970919838469,429046.2055915437
17_SGP,Singapore,2008,4705.608,426269.898869297,0.2579936883217176,0.0494943074882031,44.3584688806777,436967.4947827266
17_SGP,Singapore,2009,4907.874,426815.325624664,0.2444587078697035,0.0499123372137547,43.8631060213423,437599.8980076022
17_SGP,Singapore,2010,5029.261,488787.842633126,0.2646496265242403,0.0503729693591595,50.5915809058007,501121.81045800034
17_SGP,Singapore,2011,5124.767,519165.685276846,0.2658547775875744,0.0511189624667168,48.8092109004309,532270.1847769705
17_SGP,Singapore,2012,5239.711,542193.266755059,0.2619160153373335,0.0516959168016911,47.2531022096686,555799.7718966556
17_SGP,Singapore,2013,5346.968,568314.137606487,0.2589146919596958,0.052265603095293,45.5156971062719,582606.6635184345
17_SGP,Singapore,2014,5424.209,590680.3693923879,0.2542764660922332,0.0529721193015575,47.2950477994746,605584.0914369215
17_SGP,Singapore,2015,5491.591,608263.738590263,0.2484504169565552,0.0535507313907146,44.0462153091754,623579.4259037819
17_SGP,Singapore,2016,5559.088,632052.647907152,0.2453389465178597,0.0541719123721123,45.2357210400528,645757.0908704686
17_SGP,Singapore,2017,5596.771,659400.262106181,0.2446597447201065,0.0556410737335682,46.6182575489954,675862.2232966339
17_SGP,Singapore,2018,5611.386,680412.76680686,0.2442873827461977,0.0571823418140411,41.4218332441414,700679.4976817463
17_SGP,Singapore,2019,5657.353,688297.250280296,0.2391318429167304,0.0580892637372017,39.9868811642176,708369.4584049366
17_SGP,Singapore,2020,5681.772,663443.918456882,0.2254066854016967,0.0583657994866371,42.0805317790255,678992.7231539462
17_SGP,Singapore,2021,5558.529,730724.326968531,0.2385769621367943,0.0585080720484257,44.1544994049441,730724.326968531
